16,63
75,87
86,16
51,32
2,18
47,96
13,67
48,49
86,73
61,40
22,57
68,5
49,94
27,18
0,15
34,2
42,10
59,80
18,73
46,70
23,52
93,83
89,44
71,87
52,56
56,46
19,54
50,7
23,37
10,58
14,86
13,19
35,42
8,38
16,10
96,21
68,37
47,86
70,1
18,81
4,74
92,55
56,99
52,92
95,59
20,34
19,25
85,74
89,11
2,26
99,74
76,70
58,77
15,58
48,67
36,27
79,52
61,64
54,90
6,74
77,10
39,17
48,95
90,34
33,61
80,9
49,23
81,26
87,69
57,2
50,60
84,56
27,8
25,2
96,64
20,88
27,43
51,23
67,5
77,53
65,55
41,46
85,14
23,42
45,53
69,99
8,23
10,76
15,43
78,95
69,56
37,65
33,38
92,14
94,95
43,86
27,37
71,27
81,31
44,53
